"гл/миа йимгсгс";гл/миа аниас;пеяицяажг;посо;упокоипо
16/04/2025;16/04/2025;COM POO RENEWAL INV R23384-25;-21,20;179.745,53
16/04/2025;16/04/2025;POO RENEWAL INV R23384-25 SOUT;-782,07;179.766,73
16/04/2025;16/04/2025;дыяо пасва 04/25;-5.113,49;180.548,80
15/04/2025;15/04/2025;264283 амакгьг атл      006275;-500,00;185.662,29
15/04/2025;15/04/2025;пкгяылг дег  -RF57907738000300;-993,00;186.162,29
04/04/2025;04/04/2025;COM POO ENOIKIO;-1,15;187.155,29
04/04/2025;04/04/2025;POO ENOIKIO;-2.139,32;187.156,44
04/04/2025;04/04/2025;лтж лесы WEB ARCHON;-1.953,00;189.295,76
02/04/2025;02/04/2025;LinkedIn Payment;-250,00;191.248,76
02/04/2025;02/04/2025;сумдяолг  ADVANCED FOR BUSINES;-7,00;191.498,76
01/04/2025;01/04/2025;жояос тойым;-0,27;191.505,76
01/04/2025;01/04/2025;пистытийои тойои;1,80;191.506,03
31/03/2025;31/03/2025;COSMOTE   RF989031180000000147;-5,00;191.504,23
31/03/2025;31/03/2025;пкгяылг ежйа е-093123192428007;-4.393,98;191.509,23
31/03/2025;31/03/2025;лисходосиа 03/25;-9.831,34;195.903,21
31/03/2025;31/03/2025;DUALSAVE 10105785 лаятиос 2025;-1.212,64;205.734,55
31/03/2025;31/03/2025;бебаиылемес ожеикес -800744304;-1.505,12;206.947,19
31/03/2025;31/03/2025;бебаиылемес ожеикес -800744304;-233,20;208.452,31
28/03/2025;28/03/2025;7152 & 5621 EKTELONISMOS QUEL;-416,10;208.685,51
28/03/2025;28/03/2025;COM POO ORDER 235;-1,15;209.101,61
28/03/2025;28/03/2025;POO ORDER 235;-265,36;209.102,76
26/03/2025;26/03/2025;пяолгхеиа сумаккацлатос;-1,89;209.368,12
26/03/2025;26/03/2025;OPENVC.A NEWAR US       99,00;-94,57;209.370,01
26/03/2025;26/03/2025;KARIERA. GERAK GR;-235,60;209.464,58
24/03/2025;24/03/2025;COM POO MB114527BB;-21,20;209.700,18
24/03/2025;24/03/2025;POO MB114527BB;-283,00;209.721,38
24/03/2025;24/03/2025;COM POO AGGELIA SKYWALKER;-1,15;210.004,38
24/03/2025;24/03/2025;POO AGGELIA SKYWALKER;-89,90;210.005,53
